
[duel-audit] 90 scripted duels, 30 cells [STOCK doctrines — pre-identity baseline arm]

| cell | ttk s | meanDist | minDist | passes/min | fire/min | dmg taken | counterplay | in-frame |
|---|---|---|---|---|---|---|---|---|
| wasp_swarmer:1v1 | 4.93 | 213.38 | 61.39 | 0 | 24.41 | 0 | — (0) | 0.86 |
| wasp_swarmer:2v2 | 60 | 226.43 | 3.07 | 3 | 3 | 0 | attach (1) | 0.94 |
| lancer_sniper:1v1 | 8.9 | 202.7 | 52.62 | 0 | 0 | 0 | — (0) | 0.82 |
| lancer_sniper:2v2 | 60 | 136.5 | 13.74 | 2 | 5 | 0 | — (0) | 0.98 |
| bruiser_brawler:1v1 | 38.58 | 108.71 | 25.83 | 0 | 46.29 | 19.15 | — (0) | 0.97 |
| bruiser_brawler:2v2 | 60 | 147.85 | 4.69 | 2 | 75 | 9.88 | — (0) | 0.81 |
| reaver_pirate:1v1 | 13.3 | 109.63 | 18.09 | 0 | 36.78 | 12.33 | — (0) | 0.94 |
| reaver_pirate:2v2 | 19.08 | 110.92 | 5.52 | 3.15 | 34.62 | 3.29 | — (0) | 0.71 |
| corsair_raider:1v1 | 26.38 | 129.13 | 51.51 | 0 | 15.93 | 31.76 | — (0) | 0.97 |
| corsair_raider:2v2 | 60 | 850.41 | 3.51 | 2 | 14 | 115.86 | — (0) | 0.85 |
| patrol_lawman:1v1 | 27.47 | 98.47 | 16.72 | 0 | 32.79 | 24.66 | — (0) | 0.99 |
| patrol_lawman:2v2 | 60 | 119.85 | 13.93 | 1 | 30 | 19.71 | — (0) | 0.99 |
| customs_cutter:1v1 | 18.58 | 123.15 | 15.49 | 0 | 25.71 | 4.92 | — (0) | 0.98 |
| customs_cutter:2v2 | 60 | 136.43 | 13.09 | 2 | 19.67 | 21.38 | — (0) | 0.98 |
| mine_layer_jackal:1v1 | 13.28 | 150.16 | 37.13 | 0 | 0 | 0 | — (0) | 0.95 |
| mine_layer_jackal:2v2 | 57.94 | 4581.18 | 8.7 | 4 | 10 | 0 | — (0) | 0.84 |
| pd_screen_escort:1v1 | 28.25 | 135.3 | 32.63 | 0 | 17 | 0 | — (0) | 0.99 |
| pd_screen_escort:2v2 | 60 | 128.17 | 4.64 | 2.82 | 7 | 6.59 | — (0) | 0.72 |
| choir_zealot:1v1 | 8.65 | 149.43 | 43.39 | 0 | 13.9 | 2.2 | — (0) | 0.93 |
| choir_zealot:2v2 | 60 | 124.96 | 6.19 | 1 | 3 | 0 | — (0) | 0.97 |
| quiet_ghost:1v1 | 13.5 | 170.91 | 59.6 | 0 | 0 | 0 | — (0) | 0.88 |
| quiet_ghost:2v2 | 60 | 136.15 | 6.42 | 3 | 12 | 15.62 | — (0) | 0.86 |
| tether_control_raider:1v1 | 29.6 | 83.93 | 0.14 | 0 | 0 | 0 | attach+cut_line (24) | 0.99 |
| tether_control_raider:2v2 | 39.1 | 174.51 | 0.28 | 1.77 | 0 | 0 | attach+cut_line (20) | 0.76 |
| warden_escort:1v1 | 55.9 | 114.7 | 21.94 | 0 | 37.83 | 32.33 | — (0) | 0.98 |
| warden_escort:2v2 | 59.92 | 112.8 | 7.71 | 0 | 134.22 | 54.77 | — (0) | 0.85 |
| field_anchor_controller:1v1 | — | 118.74 | 23.65 | 0 | 13 | 0 | snare_field (30) | 0.97 |
| field_anchor_controller:2v2 | 60 | 143.89 | 6.55 | 1 | 59 | 12.33 | snare_field (29) | 0.8 |
| dreadnought_boss:1v1 | 25.17 | 117.33 | 26.39 | 0 | 572.19 | 378.14 | — (0) | 0.95 |
| dreadnought_boss:2v2 | 12.25 | 100.26 | 7.28 | 0 | 3669.04 | 337 | — (0) | 0.96 |

SAME-FIGHT pairs (36/210) — differing dimensions <= 2:
  wasp_swarmer:1v1  ==  choir_zealot:1v1   [phase_vocabulary, maneuver_mix]
  wasp_swarmer:2v2  ==  choir_zealot:2v2   [engagement_distance, counterplay]
  bruiser_brawler:1v1  ==  reaver_pirate:1v1   [ttk, phase_vocabulary]
  bruiser_brawler:2v2  ==  patrol_lawman:2v2   [fire_pressure, phase_vocabulary]
  bruiser_brawler:2v2  ==  customs_cutter:2v2   [fire_pressure, phase_vocabulary]
  bruiser_brawler:2v2  ==  pd_screen_escort:2v2   [fire_pressure, phase_vocabulary]
  reaver_pirate:1v1  ==  corsair_raider:1v1   [ttk, fire_pressure]
  reaver_pirate:1v1  ==  patrol_lawman:1v1   [ttk, maneuver_mix]
  reaver_pirate:1v1  ==  pd_screen_escort:1v1   [ttk, maneuver_mix]
  reaver_pirate:1v1  ==  choir_zealot:1v1   [fire_pressure, maneuver_mix]
  reaver_pirate:2v2  ==  patrol_lawman:2v2   [ttk, maneuver_mix]
  reaver_pirate:2v2  ==  customs_cutter:2v2   [ttk, maneuver_mix]
  reaver_pirate:2v2  ==  choir_zealot:2v2   [ttk, fire_pressure]
  corsair_raider:2v2  ==  patrol_lawman:2v2   [engagement_distance, player_damage_taken]
  corsair_raider:2v2  ==  customs_cutter:2v2   [engagement_distance, player_damage_taken]
  corsair_raider:2v2  ==  pd_screen_escort:2v2   [engagement_distance, player_damage_taken]
  patrol_lawman:1v1  ==  choir_zealot:1v1   [ttk, maneuver_mix]
  patrol_lawman:2v2  ==  choir_zealot:2v2   [fire_pressure, maneuver_mix]
  customs_cutter:1v1  ==  choir_zealot:1v1   [ttk, maneuver_mix]
  pd_screen_escort:1v1  ==  choir_zealot:1v1   [ttk, maneuver_mix]
  lancer_sniper:2v2  ==  quiet_ghost:2v2   [phase_vocabulary]
  reaver_pirate:1v1  ==  customs_cutter:1v1   [maneuver_mix]
  corsair_raider:1v1  ==  customs_cutter:1v1   [player_damage_taken]
  corsair_raider:1v1  ==  pd_screen_escort:1v1   [player_damage_taken]
  patrol_lawman:1v1  ==  customs_cutter:1v1   [ttk]
  patrol_lawman:2v2  ==  pd_screen_escort:2v2   [fire_pressure]
  customs_cutter:1v1  ==  pd_screen_escort:1v1   [ttk]
  customs_cutter:2v2  ==  choir_zealot:2v2   [maneuver_mix]
  pd_screen_escort:2v2  ==  choir_zealot:2v2   [maneuver_mix]
  lancer_sniper:1v1  ==  mine_layer_jackal:1v1   [identical]
  lancer_sniper:1v1  ==  quiet_ghost:1v1   [identical]
  corsair_raider:1v1  ==  patrol_lawman:1v1   [identical]
  patrol_lawman:1v1  ==  pd_screen_escort:1v1   [identical]
  patrol_lawman:2v2  ==  customs_cutter:2v2   [identical]
  customs_cutter:2v2  ==  pd_screen_escort:2v2   [identical]
  mine_layer_jackal:1v1  ==  quiet_ghost:1v1   [identical]

differing-dimension histogram over all pairs (0=identical .. N+):
  0:7  1:9  2:20  3+:174

counterplay behaviors that fired: attach:45, cut_line:44, snare_field:59
