order,api_name,display_name,description,hidden,set_by,category,unlock_rule,achieved_icon,unachieved_icon
1,SF_BERTH_ASSIGNED,Berth Assigned,Dock at a station.,0,Client,adventure,docks >= 1 (dock:docked: the player confirms a dock at a station),build/store/steam/achievements/SF_BERTH_ASSIGNED_achieved.jpg,build/store/steam/achievements/SF_BERTH_ASSIGNED_unachieved.jpg
2,SF_ROCK_HAS_A_PRICE,Rock Has a Price,Mine ore from an asteroid or salvage it from a wreck.,0,Client,adventure,oreUnits >= 1 (mining:yield: ore or salvage released to the player (other miners excluded)),build/store/steam/achievements/SF_ROCK_HAS_A_PRICE_achieved.jpg,build/store/steam/achievements/SF_ROCK_HAS_A_PRICE_unachieved.jpg
3,SF_PAPER_TRAIL,Paper Trail,Buy or sell cargo at a station market.,0,Client,adventure,trades >= 1 (economy:tradeCompleted: a buy or a sell settles at a station market),build/store/steam/achievements/SF_PAPER_TRAIL_achieved.jpg,build/store/steam/achievements/SF_PAPER_TRAIL_unachieved.jpg
4,SF_SIGNED_AND_DELIVERED,Signed and Delivered,Complete a contract.,0,Client,adventure,contracts >= 1 (mission:completed: a contract settles as completed),build/store/steam/achievements/SF_SIGNED_AND_DELIVERED_achieved.jpg,build/store/steam/achievements/SF_SIGNED_AND_DELIVERED_unachieved.jpg
5,SF_OUT_OF_THE_POCKET,Out of the Pocket,Jump to another system.,0,Client,adventure,jumps >= 1 (jump:arrive: the player arrives in another system),build/store/steam/achievements/SF_OUT_OF_THE_POCKET_achieved.jpg,build/store/steam/achievements/SF_OUT_OF_THE_POCKET_unachieved.jpg
6,SF_MADE_CONTACT,Made Contact,Latch the Massline onto another body.,0,Client,massline,latches >= 1 (tether:latched: the Massline latches a body),build/store/steam/achievements/SF_MADE_CONTACT_achieved.jpg,build/store/steam/achievements/SF_MADE_CONTACT_unachieved.jpg
7,SF_LIGHT_SHIPS_ARE_AMMUNITION,Light Ships Are Ammunition,Throw a body with the Massline.,0,Client,massline,throws >= 1 (massline:throw: an armed Massline throw releases its payload),build/store/steam/achievements/SF_LIGHT_SHIPS_ARE_AMMUNITION_achieved.jpg,build/store/steam/achievements/SF_LIGHT_SHIPS_ARE_AMMUNITION_unachieved.jpg
8,SF_RAZOR_RELEASE,Razor Release,Let go of a swing at the exact moment: a razor-rated release.,0,Client,massline,razorReleases >= 1 (tether:releaseRated: a swing release is rated razor),build/store/steam/achievements/SF_RAZOR_RELEASE_achieved.jpg,build/store/steam/achievements/SF_RAZOR_RELEASE_unachieved.jpg
9,SF_KEEP_THE_SPEED,Keep the Speed,Whip a tethered mass into something at crushing speed.,0,Client,massline,crushingImpacts >= 1 (tether:whipImpact: a whipped mass strikes a body at crushing speed),build/store/steam/achievements/SF_KEEP_THE_SPEED_achieved.jpg,build/store/steam/achievements/SF_KEEP_THE_SPEED_unachieved.jpg
10,SF_INTO_THE_CRUCIBLE,Into the Crucible,"Finish a Crucible run, however it ends.",0,Client,crucible,crucible.runs >= 1 (records.lifetime.runs: settled Crucible runs),build/store/steam/achievements/SF_INTO_THE_CRUCIBLE_achieved.jpg,build/store/steam/achievements/SF_INTO_THE_CRUCIBLE_unachieved.jpg
11,SF_TENTH_WAVE,Tenth Wave,Reach wave 10 in the Crucible.,0,Client,crucible,crucible.deepestWave >= 10 (records.lifetime.deepestWave: deepest Crucible wave reached),build/store/steam/achievements/SF_TENTH_WAVE_achieved.jpg,build/store/steam/achievements/SF_TENTH_WAVE_unachieved.jpg
12,SF_BETTER_THAN_LAST_TIME,Better Than Last Time,Beat your own best score in a Crucible challenge.,0,Client,crucible,crucibleBests >= 1 (run:resultsReady: a settled Crucible run beats the best score its challenge held before it),build/store/steam/achievements/SF_BETTER_THAN_LAST_TIME_achieved.jpg,build/store/steam/achievements/SF_BETTER_THAN_LAST_TIME_unachieved.jpg
13,SF_SAME_SEED_SAME_DAY,"Same Seed, Same Day",Finish a Crucible daily run.,0,Client,crucible,crucible.dailyDays >= 1 (daily.byDate: days with a settled Crucible daily run),build/store/steam/achievements/SF_SAME_SEED_SAME_DAY_achieved.jpg,build/store/steam/achievements/SF_SAME_SEED_SAME_DAY_unachieved.jpg
14,SF_WALKED_OUT,Walked Out,Extract from a Crucible swarm at the refit bench instead of dying in it.,0,Client,crucible,crucibleExtractions >= 1 (run:resultsReady: a settled Crucible run ends by extraction),build/store/steam/achievements/SF_WALKED_OUT_achieved.jpg,build/store/steam/achievements/SF_WALKED_OUT_unachieved.jpg
15,SF_PAPERWORK_FILED,Paperwork Filed,Get yourself declared WANTED.,1,Client,career,wantedTimes >= 1 (heat:changed: heat crosses the WANTED threshold),build/store/steam/achievements/SF_PAPERWORK_FILED_achieved.jpg,build/store/steam/achievements/SF_PAPERWORK_FILED_unachieved.jpg
16,SF_SIX_FIGURES,Six Figures,"Earn 100,000 credits over your career.",0,Client,career,creditsEarned >= 100000 (credits:changed: credits granted to the player (sum of positive deltas)),build/store/steam/achievements/SF_SIX_FIGURES_achieved.jpg,build/store/steam/achievements/SF_SIX_FIGURES_unachieved.jpg
